予約ID,顧客ID,予約日時,予約経路,予約ステータス,チェックイン日時,チェックアウト日時,部屋タイプ,滞在予定日数,宿泊料金,支払ステータス,割当部屋ID
R020,C020,2024-02-04 18:25:00,電話,確定,2024-04-15 15:00:00,2024-04-20 11:00:00,スイート,5,112500,未払い,RM205
R021,C021,2024-02-05 09:30:00,外部サイト,確定,2024-04-18 15:00:00,2024-04-20 11:00:00,ダブル,2,22000,支払い済み,RM116
R022,C022,2024-02-06 14:15:00,公式サイト,確定,2024-04-22 15:00:00,2024-04-25 11:00:00,シングル,3,45000,支払い済み,RM117
R023,C023,2024-02-07 17:40:00,電話,確定,2024-04-25 15:00:00,2024-04-27 11:00:00,ダブル,2,22000,未払い,RM118
R024,C024,2024-02-08 11:25:00,外部サイト,キャンセル,2024-04-28 15:00:00,2024-05-01 11:00:00,スイート,3,67500,返金済み,RM206
R025,C025,2024-02-09 16:50:00,公式サイト,確定,2024-05-01 15:00:00,2024-05-03 11:00:00,シングル,2,15000,支払い済み,RM119
R026,C026,2024-02-10 13:35:00,電話,確定,2024-05-05 15:00:00,2024-05-08 11:00:00,ダブル,3,66000,支払い済み,RM120
R027,C027,2024-02-11 19:20:00,外部サイト,確定,2024-05-08 15:00:00,2024-05-12 11:00:00,スイート,4,90000,未払い,RM207
R028,C028,2024-02-12 10:45:00,公式サイト,確定,2024-05-10 15:00:00,2024-05-13 11:00:00,シングル,3,45000,支払い済み,RM121
R029,C029,2024-02-13 15:10:00,電話,確定,2024-05-15 15:00:00,2024-05-17 11:00:00,ダブル,2,22000,支払い済み,RM122
R030,C030,2024-02-14 12:55:00,外部サイト,確定,2024-05-18 15:00:00,2024-05-22 11:00:00,スイート,4,90000,未払い,RM208
R031,C031,2024-02-15 18:30:00,公式サイト,キャンセル,2024-05-20 15:00:00,2024-05-23 11:00:00,シングル,3,45000,返金済み,RM123
R032,C032,2024-02-16 08:15:00,電話,確定,2024-05-25 15:00:00,2024-05-27 11:00:00,ダブル,2,22000,支払い済み,RM124
R033,C033,2024-02-17 14:40:00,外部サイト,確定,2024-05-28 15:00:00,2024-06-01 11:00:00,スイート,4,90000,支払い済み,RM209
R034,C034,2024-02-18 17:25:00,公式サイト,確定,2024-06-01 15:00:00,2024-06-03 11:00:00,シングル,2,15000,未払い,RM125
R035,C035,2024-02-19 11:50:00,電話,確定,2024-06-05 15:00:00,2024-06-08 11:00:00,ダブル,3,66000,支払い済み,RM126
R036,C036,2024-02-20 16:05:00,外部サイト,確定,2024-06-08 15:00:00,2024-06-12 11:00:00,スイート,4,90000,支払い済み,RM210
R037,C037,2024-02-21 13:20:00,公式サイト,確定,2024-06-10 15:00:00,2024-06-13 11:00:00,シングル,3,45000,未払い,RM127
R038,C038,2024-02-22 19:35:00,電話,キャンセル,2024-06-15 15:00:00,2024-06-17 11:00:00,ダブル,2,22000,返金済み,RM128
R039,C039,2024-02-23 10:10:00,外部サイト,確定,2024-06-18 15:00:00,2024-06-22 11:00:00,スイート,4,90000,支払い済み,RM211
R040,C040,2024-02-24 15:45:00,公式サイト,確定,2024-06-20 15:00:00,2024-06-23 11:00:00,シングル,3,45000,支払い済み,RM129
R041,C041,2024-02-25 12:30:00,電話,確定,2024-06-25 15:00:00,2024-06-28 11:00:00,ダブル,3,66000,未払い,RM130
R042,C042,2024-02-26 18:15:00,外部サイト,確定,2024-06-28 15:00:00,2024-07-02 11:00:00,スイート,4,90000,支払い済み,RM212
R043,C043,2024-02-27 09:40:00,公式サイト,確定,2024-07-01 15:00:00,2024-07-03 11:00:00,シングル,2,15000,支払い済み,RM131
R044,C044,2024-02-28 14:25:00,電話,確定,2024-07-05 15:00:00,2024-07-08 11:00:00,ダブル,3,66000,支払い済み,RM132
R045,C045,2024-02-29 17:50:00,外部サイト,キャンセル,2024-07-08 15:00:00,2024-07-12 11:00:00,スイート,4,90000,返金済み,RM213
R046,C046,2024-03-01 11:05:00,公式サイト,確定,2024-07-10 15:00:00,2024-07-13 11:00:00,シングル,3,45000,未払い,RM133
R047,C047,2024-03-02 16:20:00,電話,確定,2024-07-15 15:00:00,2024-07-17 11:00:00,ダブル,2,22000,支払い済み,RM134
R048,C048,2024-03-03 13:35:00,外部サイト,確定,2024-07-18 15:00:00,2024-07-22 11:00:00,スイート,4,90000,支払い済み,RM214
R049,C049,2024-03-04 19:10:00,公式サイト,確定,2024-07-20 15:00:00,2024-07-23 11:00:00,シングル,3,45000,支払い済み,RM135
R050,C050,2024-03-05 08:45:00,電話,確定,2024-07-25 15:00:00,2024-07-28 11:00:00,ダブル,3,66000,未払い,RM136
R051,C051,2024-03-06 15:00:00,外部サイト,確定,2024-07-28 15:00:00,2024-08-01 11:00:00,スイート,4,90000,支払い済み,RM215
R052,C052,2024-03-07 12:15:00,公式サイト,キャンセル,2024-08-01 15:00:00,2024-08-03 11:00:00,シングル,2,15000,返金済み,RM137
R053,C053,2024-03-08 18:30:00,電話,確定,2024-08-05 15:00:00,2024-08-08 11:00:00,ダブル,3,66000,支払い済み,RM138
R054,C054,2024-03-09 10:55:00,外部サイト,確定,2024-08-08 15:00:00,2024-08-12 11:00:00,スイート,4,90000,支払い済み,RM216
R055,C055,2024-03-10 16:40:00,公式サイト,確定,2024-08-10 15:00:00,2024-08-13 11:00:00,シングル,3,45000,未払い,RM139
R056,C056,2024-03-11 14:25:00,電話,確定,2024-08-15 15:00:00,2024-08-17 11:00:00,ダブル,2,22000,支払い済み,RM140
R057,C057,2024-03-12 19:50:00,外部サイト,確定,2024-08-18 15:00:00,2024-08-22 11:00:00,スイート,4,90000,支払い済み,RM217
R058,C058,2024-03-13 09:05:00,公式サイト,確定,2024-08-20 15:00:00,2024-08-23 11:00:00,シングル,3,45000,支払い済み,RM141
R059,C059,2024-03-14 15:20:00,電話,キャンセル,2024-08-25 15:00:00,2024-08-28 11:00:00,ダブル,3,66000,返金済み,RM142
R060,C060,2024-03-15 12:35:00,外部サイト,確定,2024-08-28 15:00:00,2024-09-01 11:00:00,スイート,4,90000,未払い,RM218
R061,C061,2024-03-16 18:10:00,公式サイト,確定,2024-09-01 15:00:00,2024-09-03 11:00:00,シングル,2,15000,支払い済み,RM143
R062,C062,2024-03-17 08:45:00,電話,確定,2024-09-05 15:00:00,2024-09-08 11:00:00,ダブル,3,66000,支払い済み,RM144
R063,C063,2024-03-18 14:00:00,外部サイト,確定,2024-09-08 15:00:00,2024-09-12 11:00:00,スイート,4,90000,支払い済み,RM219
R064,C064,2024-03-19 17:25:00,公式サイト,確定,2024-09-10 15:00:00,2024-09-13 11:00:00,シングル,3,45000,未払い,RM145
R065,C065,2024-03-20 11:40:00,電話,確定,2024-09-15 15:00:00,2024-09-17 11:00:00,ダブル,2,22000,支払い済み,RM146
R066,C066,2024-03-21 16:55:00,外部サイト,キャンセル,2024-09-18 15:00:00,2024-09-22 11:00:00,スイート,4,90000,返金済み,RM220
R067,C067,2024-03-22 13:10:00,公式サイト,確定,2024-09-20 15:00:00,2024-09-23 11:00:00,シングル,3,45000,支払い済み,RM147
R068,C068,2024-03-23 19:35:00,電話,確定,2024-09-25 15:00:00,2024-09-28 11:00:00,ダブル,3,66000,支払い済み,RM148
R069,C069,2024-03-24 10:20:00,外部サイト,確定,2024-09-28 15:00:00,2024-10-02 11:00:00,スイート,4,90000,未払い,RM221
R070,C070,2024-03-25 15:45:00,公式サイト,確定,2024-10-01 15:00:00,2024-10-03 11:00:00,シングル,2,15000,支払い済み,RM149
R071,C071,2024-03-26 12:00:00,電話,確定,2024-10-05 15:00:00,2024-10-08 11:00:00,ダブル,3,66000,支払い済み,RM150
R072,C072,2024-03-27 18:25:00,外部サイト,確定,2024-10-08 15:00:00,2024-10-12 11:00:00,スイート,4,90000,支払い済み,RM222
R073,C073,2024-03-28 09:50:00,公式サイト,キャンセル,2024-10-10 15:00:00,2024-10-13 11:00:00,シングル,3,45000,返金済み,RM151
R074,C074,2024-03-29 14:15:00,電話,確定,2024-10-15 15:00:00,2024-10-17 11:00:00,ダブル,2,22000,未払い,RM152
R075,C075,2024-03-30 17:30:00,外部サイト,確定,2024-10-18 15:00:00,2024-10-22 11:00:00,スイート,4,90000,支払い済み,RM223
R076,C076,2024-03-31 11:55:00,公式サイト,確定,2024-10-20 15:00:00,2024-10-23 11:00:00,シングル,3,45000,支払い済み,RM153
R077,C077,2024-04-01 16:10:00,電話,確定,2024-10-25 15:00:00,2024-10-28 11:00:00,ダブル,3,66000,支払い済み,RM154
R078,C078,2024-04-02 13:25:00,外部サイト,確定,2024-10-28 15:00:00,2024-11-01 11:00:00,スイート,4,90000,未払い,RM224
R079,C079,2024-04-03 19:40:00,公式サイト,確定,2024-11-01 15:00:00,2024-11-03 11:00:00,シングル,2,15000,支払い済み,RM155
R080,C080,2024-04-04 08:05:00,電話,キャンセル,2024-11-05 15:00:00,2024-11-08 11:00:00,ダブル,3,66000,返金済み,RM156
R081,C081,2024-04-05 14:30:00,外部サイト,確定,2024-11-08 15:00:00,2024-11-12 11:00:00,スイート,4,90000,支払い済み,RM225
R082,C082,2024-04-06 17:45:00,公式サイト,確定,2024-11-10 15:00:00,2024-11-13 11:00:00,シングル,3,45000,支払い済み,RM157
R083,C083,2024-04-07 12:20:00,電話,確定,2024-11-15 15:00:00,2024-11-17 11:00:00,ダブル,2,22000,未払い,RM158
R084,C084,2024-04-08 18:35:00,外部サイト,確定,2024-11-18 15:00:00,2024-11-22 11:00:00,スイート,4,90000,支払い済み,RM226
R085,C085,2024-04-09 10:50:00,公式サイト,確定,2024-11-20 15:00:00,2024-11-23 11:00:00,シングル,3,45000,支払い済み,RM159
R086,C086,2024-04-10 16:15:00,電話,確定,2024-11-25 15:00:00,2024-11-28 11:00:00,ダブル,3,66000,支払い済み,RM160
R087,C087,2024-04-11 13:40:00,外部サイト,キャンセル,2024-11-28 15:00:00,2024-12-02 11:00:00,スイート,4,90000,返金済み,RM227
R088,C088,2024-04-12 19:05:00,公式サイト,確定,2024-12-01 15:00:00,2024-12-03 11:00:00,シングル,2,15000,未払い,RM161
R089,C089,2024-04-13 09:30:00,電話,確定,2024-12-05 15:00:00,2024-12-08 11:00:00,ダブル,3,66000,支払い済み,RM162
R090,C090,2024-04-14 15:55:00,外部サイト,確定,2024-12-08 15:00:00,2024-12-12 11:00:00,スイート,4,90000,支払い済み,RM228
R091,C091,2024-04-15 12:10:00,公式サイト,確定,2024-12-10 15:00:00,2024-12-13 11:00:00,シングル,3,45000,支払い済み,RM163
R092,C092,2024-04-16 18:25:00,電話,確定,2024-12-15 15:00:00,2024-12-17 11:00:00,ダブル,2,22000,未払い,RM164
R093,C093,2024-04-17 10:40:00,外部サイト,確定,2024-12-18 15:00:00,2024-12-22 11:00:00,スイート,4,90000,支払い済み,RM229
R094,C094,2024-04-18 16:05:00,公式サイト,キャンセル,2024-12-20 15:00:00,2024-12-23 11:00:00,シングル,3,45000,返金済み,RM165
R095,C095,2024-04-19 13:20:00,電話,確定,2024-12-25 15:00:00,2024-12-28 11:00:00,ダブル,3,66000,支払い済み,RM166
R096,C096,2024-04-20 19:45:00,外部サイト,確定,2024-12-28 15:00:00,2025-01-01 11:00:00,スイート,4,90000,支払い済み,RM230
R097,C097,2024-04-21 08:00:00,公式サイト,確定,2025-01-01 15:00:00,2025-01-03 11:00:00,シングル,2,15000,未払い,RM167
R098,C098,2024-04-22 14:35:00,電話,確定,2025-01-05 15:00:00,2025-01-08 11:00:00,ダブル,3,66000,支払い済み,RM168
R099,C099,2024-04-23 17:50:00,外部サイト,確定,2025-01-08 15:00:00,2025-01-12 11:00:00,スイート,4,90000,支払い済み,RM231
R100,C100,2024-04-24 11:15:00,公式サイト,確定,2025-01-10 15:00:00,2025-01-13 11:00:00,シングル,3,45000,支払い済み,RM169
