対応ID,従業員ID,顧客ID,対応内容,対応日時
S043,STF013,C043,客室の冷蔵庫温度調整,2024-07-02 15:15:00
S044,STF024,C044,地域イベント情報の提供,2024-07-06 17:45:00
S045,STF007,C045,予約キャンセルの対応,2024-03-05 14:30:00
S046,STF025,C046,客室のバルコニー清掃依頼,2024-07-11 16:00:00
S047,STF014,C047,アーリーチェックインの相談,2024-07-16 13:45:00
S048,STF026,C048,客室のバスタブ排水トラブル対応,2024-07-20 19:30:00
S049,STF015,C049,記念日サプライズの相談,2024-07-22 20:15:00
S050,STF027,C050,客室の電話設定サポート,2024-07-27 21:00:00
S051,STF008,C051,ウェディングサービスの相談,2024-07-30 11:30:00
S052,STF028,C052,予約キャンセルの返金手続き,2024-03-10 15:45:00
S053,STF016,C053,客室のドアロック不具合対応,2024-08-06 22:15:00
S054,STF029,C054,特別食事制限の対応相談,2024-08-10 12:30:00
S055,STF017,C055,客室の窓ガラス清掃依頼,2024-08-12 14:45:00
S056,STF030,C056,タクシー料金の問い合わせ対応,2024-08-16 16:15:00
S057,STF018,C057,客室のシャワー水圧調整依頼,2024-08-19 18:45:00
S058,STF031,C058,周辺ショッピング情報の提供,2024-08-22 19:30:00
S059,STF019,C059,予約キャンセルの対応,2024-03-17 10:15:00
S060,STF032,C060,客室の暖房設定サポート,2024-08-30 20:45:00
S061,STF020,C061,レンタカー手配の相談,2024-09-02 09:00:00
S062,STF033,C062,客室のカーペット清掃依頼,2024-09-07 15:30:00
S063,STF021,C063,イベントチケット手配の相談,2024-09-10 17:00:00
S064,STF034,C064,客室のエアコンフィルター交換依頼,2024-09-13 16:45:00
S065,STF022,C065,医療機関案内の相談,2024-09-16 14:30:00
S066,STF035,C066,予約キャンセルの返金対応,2024-03-24 11:45:00
S067,STF023,C067,客室のカーテンレール修理,2024-09-22 13:15:00
S068,STF036,C068,通訳サービスの手配相談,2024-09-26 18:15:00
S069,STF024,C069,客室のベッドマットレス交換依頼,2024-09-30 12:00:00
S070,STF037,C070,お土産ショップの営業時間案内,2024-10-02 16:30:00
S071,STF025,C071,客室の照明器具交換依頼,2024-10-06 19:15:00
S072,STF038,C072,フラワーアレンジメントサービス相談,2024-10-09 14:45:00
S073,STF026,C073,予約キャンセルの返金手続き,2024-03-31 13:30:00
S074,STF039,C074,客室のタオル追加依頼,2024-10-16 17:30:00
S075,STF027,C075,セキュリティサービスの相談,2024-10-20 20:00:00
S076,STF040,C076,客室のアメニティ補充依頼,2024-10-22 15:45:00
S077,STF028,C077,ヨガクラス参加の相談,2024-10-26 06:30:00
S078,STF041,C078,客室のバスローブ交換依頼,2024-10-30 18:30:00
S079,STF029,C079,クリーニングサービスの利用案内,2024-11-02 12:15:00
S080,STF042,C080,予約キャンセルの対応,2024-04-07 09:45:00
S081,STF030,C081,客室のスリッパ追加依頼,2024-11-09 19:45:00
S082,STF043,C082,美容サービスの予約相談,2024-11-12 16:00:00
S083,STF031,C083,客室のデスクライト修理依頼,2024-11-16 21:15:00
S084,STF044,C084,ジム器具の使用方法説明,2024-11-20 07:00:00
S085,STF032,C085,客室のコーヒーマシン操作説明,2024-11-22 08:30:00
S086,STF045,C086,ビジネスサポートサービス相談,2024-11-26 10:45:00
S087,STF033,C087,予約キャンセルの返金対応,2024-04-14 16:30:00
S088,STF046,C088,客室の空気清浄機設置依頼,2024-12-02 14:00:00
S089,STF034,C089,季節イベント参加の案内,2024-12-06 17:15:00
S090,STF047,C090,客室のブラインド修理依頼,2024-12-10 13:30:00
S091,STF035,C091,文化体験プログラムの案内,2024-12-12 15:00:00
S092,STF048,C092,客室のドライヤー交換依頼,2024-12-16 18:45:00
S093,STF036,C093,地域交通情報の提供,2024-12-19 11:15:00
S094,STF049,C094,予約キャンセルの返金手続き,2024-04-21 14:45:00
S095,STF037,C095,客室の加湿器設置依頼,2024-12-27 16:30:00
S096,STF050,C096,年末年始イベント案内,2024-12-30 19:00:00
S097,STF038,C097,客室のテレビリモコン交換依頼,2025-01-02 20:30:00
S098,STF001,C098,新年特別サービスの案内,2025-01-06 12:45:00
S099,STF002,C099,客室の時計電池交換依頼,2025-01-09 15:15:00
S100,STF003,C100,お見送りサービスの手配,2025-01-12 10:30:00
